,metric,region,scen,seas,tslice,value
343,CDD,JANGAON,RCP45,JJAS,2061-2090,0.0
344,CDD,JANGAON,RCP45,ON,2021-2050,-12.0
345,CDD,JANGAON,RCP45,ON,2061-2090,-16.0
346,CDD,JANGAON,RCP45,DJF,2021-2050,10.0
347,CDD,JANGAON,RCP45,DJF,2061-2090,7.0
348,CDD,JANGAON,RCP45,MAM,2021-2050,-18.0
349,CDD,JANGAON,RCP45,MAM,2061-2090,-25.0
350,CDD,JANGAON,RCP85,Annual,2021-2050,-37.0
351,CDD,JANGAON,RCP85,Annual,2061-2090,-48.0
352,CDD,JANGAON,RCP85,JJAS,2021-2050,0.0
353,CDD,JANGAON,RCP85,JJAS,2061-2090,0.0
354,CDD,JANGAON,RCP85,ON,2021-2050,-20.0
355,CDD,JANGAON,RCP85,ON,2061-2090,-28.0
356,CDD,JANGAON,RCP85,DJF,2021-2050,3.0
357,CDD,JANGAON,RCP85,DJF,2061-2090,-2.0
358,CDD,JANGAON,RCP85,MAM,2021-2050,-18.0
359,CDD,JANGAON,RCP85,MAM,2061-2090,-16.0
360,CDD,JAGTIAL,RCP45,Annual,2021-2050,-27.0
361,CDD,JAGTIAL,RCP45,Annual,2061-2090,-31.0
362,CDD,JAGTIAL,RCP45,JJAS,2021-2050,0.0
363,CDD,JAGTIAL,RCP45,JJAS,2061-2090,0.0
364,CDD,JAGTIAL,RCP45,ON,2021-2050,-12.0
365,CDD,JAGTIAL,RCP45,ON,2061-2090,-24.0
366,CDD,JAGTIAL,RCP45,DJF,2021-2050,-10.0
367,CDD,JAGTIAL,RCP45,DJF,2061-2090,-7.0
368,CDD,JAGTIAL,RCP45,MAM,2021-2050,-7.0
369,CDD,JAGTIAL,RCP45,MAM,2061-2090,-5.0
370,CDD,JAGTIAL,RCP85,Annual,2021-2050,-39.0
371,CDD,JAGTIAL,RCP85,Annual,2061-2090,-46.0
372,CDD,JAGTIAL,RCP85,JJAS,2021-2050,0.0
373,CDD,JAGTIAL,RCP85,JJAS,2061-2090,0.0
374,CDD,JAGTIAL,RCP85,ON,2021-2050,-23.0
375,CDD,JAGTIAL,RCP85,ON,2061-2090,-26.0
376,CDD,JAGTIAL,RCP85,DJF,2021-2050,-4.0
377,CDD,JAGTIAL,RCP85,DJF,2061-2090,-15.0
378,CDD,JAGTIAL,RCP85,MAM,2021-2050,-13.0
379,CDD,JAGTIAL,RCP85,MAM,2061-2090,-7.0
380,CDD,BHAINSA,RCP45,Annual,2021-2050,-20.5
381,CDD,BHAINSA,RCP45,Annual,2061-2090,-23.0
382,CDD,BHAINSA,RCP45,JJAS,2021-2050,0.0
383,CDD,BHAINSA,RCP45,JJAS,2061-2090,0.0
384,CDD,BHAINSA,RCP45,ON,2021-2050,-11.5
385,CDD,BHAINSA,RCP45,ON,2061-2090,-21.5
386,CDD,BHAINSA,RCP45,DJF,2021-2050,1.5
387,CDD,BHAINSA,RCP45,DJF,2061-2090,8.0
388,CDD,BHAINSA,RCP45,MAM,2021-2050,-11.5
389,CDD,BHAINSA,RCP45,MAM,2061-2090,-11.0
390,CDD,BHAINSA,RCP85,Annual,2021-2050,-35.0
391,CDD,BHAINSA,RCP85,Annual,2061-2090,-35.5
392,CDD,BHAINSA,RCP85,JJAS,2021-2050,0.0
393,CDD,BHAINSA,RCP85,JJAS,2061-2090,0.0
394,CDD,BHAINSA,RCP85,ON,2021-2050,-17.5
395,CDD,BHAINSA,RCP85,ON,2061-2090,-23.0
396,CDD,BHAINSA,RCP85,DJF,2021-2050,-3.0
397,CDD,BHAINSA,RCP85,DJF,2061-2090,-4.5
398,CDD,BHAINSA,RCP85,MAM,2021-2050,-8.5
399,CDD,BHAINSA,RCP85,MAM,2061-2090,-10.5
400,CDD,ADILABAD,RCP45,Annual,2021-2050,-26.0
401,CDD,ADILABAD,RCP45,Annual,2061-2090,-27.0
402,CDD,ADILABAD,RCP45,JJAS,2021-2050,0.0
403,CDD,ADILABAD,RCP45,JJAS,2061-2090,0.0
404,CDD,ADILABAD,RCP45,ON,2021-2050,-14.0
405,CDD,ADILABAD,RCP45,ON,2061-2090,-23.0
